artist,releases_owned,weight,
"KickZologo, WRDO",5,,
Klint,5,2,
Kobosil,5,1,
Konstantin Sibold,5,1,
Krystal Klear,5,,
Kyle Starkey,5,1,
L Lewis,5,,
L-Vis 1990 & Eklipse,5,,
Ladymonix,5,,
Layo & Bushwacka!,5,2,
Leo Zero Edits,5,,
LEON VYNEHALL,5,2,
Ling Ling,5,,
Ling303Ling,5,,
Liquid Son,5,1,
Local Suicide & Skelesys,5,1,
Loek Frey,5,1,
Lovejoy,5,,
LSDXOXO,5,1,
Macroblank & Oblique Occasions,5,,
Mad Professor,5,,
Marcel Dettmann,5,2,
Marco Shuttle,5,1,
Maresz,5,1,
Mark Van Dale With Enrico,5,,
Mass Medium / Club Caviar,5,,
Max In The World & Kroba,5,,
Max NRG Supply,5,,
McLean & Mai,5,,
Meddie Mercury,5,,
Mehdi M,5,2,
MERKER,5,1,
Mersel,5,1,
Micaela,5,,
Minimal Wave,5,,
Molen,5,1,
Moodymann,5,2,
Mor Elian,5,2,
Morel,5,1,
Morphena & Narciss,5,1,
Move D,5,1,
N-GYNN,5,1,
Nadyne Rush,5,,
NAP,5,2,
Narciss & Gerd Janson,5,2,
Nathan Micay,5,2,
NERVE,5,,
Never Dull,5,,
New Composers,5,2,
NewTone,5,,
nextdimensional,5,1,
Night Cycle,5,,
Nina,5,,
not even noticed,5,,
O'Flynn,5,1,
Odela Sound,5,,
Olav Basoski,5,2,
Ollie Lishman,5,,
Olympe4000,5,1,
Om Unit,5,1,
One Records,5,,
osc kins & speed gonzales,5,,
OSSX,5,1,
OSSX & TAH,5,1,
Pancratio,5,2,
Panthera,5,1,
Paranoid London,5,2,
Parquet Courts,5,1,
Partiboi69,5,1,
Paul Laurens,5,,
Paul St. Hilaire,5,1,
Paula Tape,5,2,
Pearson Sound,5,2,
Peder Mannerfelt,5,1,
Peppe Amore,5,1,
Peza,5,,
Philip Chernikov,5,2,
Physical Therapy & Jacob Meehan,5,1,
Pilot,5,,
Pleaser,5,2,
Psalm Star Electric,5,,
Pureblast,5,1,
Raffaele Attanasio,5,1,
Rainbow Team,5,,
Ralphi Rosario,5,,
Raredub,5,1,
Raär,5,1,
Reflex Blue,5,1,
Rex The Dog,5,1,
Rhyw,5,2,
Riva Starr,5,,
Robbie Doherty & Foley,5,,
Robotriks,5,,
Rockers Hi Fi,5,2,
Roman Flügel,5,2,
Roza Terenzi,5,2,
Ruben Seoane,5,,
Ryan Clover,5,,
Ryan Elliott,5,2,
Ryuichi Sakamoto / Illuha / Taylor Deupree,5,,
Sade,5,,
SAEED YOUNAN,5,,
Safe Mind,5,1,
Saffron Bloom,5,1,
Sally C,5,2,
San France Disco,5,,
Sascha Funke,5,1,
"Schaeben, Voss",5,2,
Sepehr,5,2,
Shaolin Wooden Men,5,,
Sil,5,2,
Siu Mata & Amor Satyr,5,,
slowthai,5,2,
smallville records,5,,
snowpoint lounge,5,,
Soft Keys,5,2,
Soulwax,5,2,
Space Kittens,5,,
SPECIAL INTEREST,5,1,
SPF 50,5,1,
Spray,5,2,
Spriitzz,5,2,
Steffi & Rosati,5,2,
Steve Frisco,5,,
Steve Redhead,5,,
Stimulator Jones,5,1,
Stone,5,1,
Strandtuch,5,1,
Sully,5,1,
SunPalace,5,,
Supermarc,5,1,
Supermayer,5,1,
Sustrapperazzi,5,1,
T.Raumschmiere,5,1,
The Advent,5,,
The Black Madonna,5,2,
The Juan MacLean,5,2,
The Lone Flanger,5,,
The Monkees,5,,
The Space Between Us,5,,
Thomas P. Heckmann,5,,
"Timmy Stewart, Neville Watson",5,,
Tony Esposito,5,,
Tony y Not,5,,
Toomy Disco,5,2,
Torvvo,5,2,
trickpony,5,2,
TRIGGS,5,,
TUNIK,5,1,
UC BEATZ,5,,
V/A,5,,
Vardae,5,1,
Visions Recordings,5,,
Voigt & Voigt,5,2,
Von Riu,5,2,
vvvani,5,,
Wata Igarashi,5,2,
Wax Assassin,5,1,
Why Bother?,5,,
Wigs,5,2,
WOLTERS,5,,
YS,5,2,
Zombies In Miami,5,2,
Answer Code Request,4,2,
C. Frim,4,,
Current Obsession,4,,
DJ PGZ,4,1,
Dylan Dylan,4,1,
Fontaines D.C.,4,2,
hoodie,4,2,
Hybrid Man,4,,
Identified Patient & Sophie du Palais,4,1,
L.F.T.,4,,
Low Flung,4,,
Nina Kraviz,4,2,
Omar S,4,2,
Patrick Cowley,4,,
SHXCXCHCXSH,4,2,
suki,4,,
T&C (Tyrel & C.l.a.w.s.),4,2,
Tuff Sherm & Patch Free,4,,
"Villa Åbo, Duo J&J",4,,
Booshank,3,,
Consumer Watchdawgz,3,,
"DJ Dogg, Furious Frank",3,1,
Fader Cap,3,1,
Furious Frank ft Ivy Barkakati,3,1,
Le Nomad,3,2,
Mosam Howieson,3,,
Mousse,3,,
Otis,3,,
Roy Batty Jr.,3,,
Speedy J,3,2,
Yuzo Iwata,3,,
Zeitgeber,3,2,
"Adam Port, Theus Mago, Keinemusik, Martina Camargo",2,1,
Anthony Naples,2,2,
ascendant vierge,2,,
Bawrut,2,2,
Butch,2,,
Dan White,2,,
Dino Lenny,2,2,
DJ Mell G,2,1,
Electro Skunk,2,,
"Haruka, Izpon, Shigekazu Otake",2,,
ILYICH with Takuya Nakamura,2,2,
Jon Watts,2,1,
Kenny Larkin,2,2,
"Luca Lozano, Mr. Ho",2,2,
Mark Broom,2,1,
Megalon,2,2,
Midnight Tenderness,2,,
Multi Culti,2,1,
Nummer,2,,
pole,2,1,
Provider,2,,
Psychemagik,2,1,
RBI,2,,
Rocco Rodamaal,2,2,
Turner Street Sound,2,,
Tuxe,2,,
Uncertain,2,,
Unsolicited Joints,2,,
Acid Cats,1,,
Alírio,1,,
Ambu Bambu,1,1,
Breezy S,1,,
Coloray,1,,
Posthuman,1,1,
Robert Cosmic,1,,
Sail By Night Records,1,,
